"age","insured_sex","policy_state","policy_csl","incident_type","incident_severity","collision_type","authorities_contacted","total_claim_amount","fraud_reported","haute_reclamation","jeune_conducteur","prob_reclam"
48,"MALE","OH","250/500","Single Vehicle Collision","Major Damage","Side Collision","Police",71610,"Y",1,0,0.283018867924528
29,"FEMALE","OH","100/300","Multi-vehicle Collision","Minor Damage","Rear Collision","Police",34650,"N",1,0,0.27930174563591
41,"FEMALE","IL","250/500","Single Vehicle Collision","Major Damage","Front Collision","Police",63400,"Y",1,0,0.283018867924528
39,"FEMALE","OH","250/500","Multi-vehicle Collision","Major Damage","Rear Collision","Fire",64100,"Y",1,0,0.27930174563591
34,"MALE","IN","250/500","Multi-vehicle Collision","Minor Damage","Front Collision","Police",78650,"N",1,0,0.27930174563591
37,"MALE","IL","100/300","Multi-vehicle Collision","Total Loss","Front Collision","Police",51590,"N",1,0,0.27930174563591
33,"FEMALE","IL","100/300","Single Vehicle Collision","Total Loss","Front Collision","Police",27700,"N",1,0,0.283018867924528
42,"MALE","IL","100/300","Single Vehicle Collision","Total Loss","Rear Collision","Other",42300,"N",1,0,0.283018867924528
42,"FEMALE","OH","100/300","Single Vehicle Collision","Total Loss","Front Collision","Police",87010,"N",1,0,0.283018867924528
23,"MALE","OH","500/1000","Single Vehicle Collision","Total Loss","Rear Collision","Ambulance",56520,"N",1,1,0.283018867924528
38,"FEMALE","OH","250/500","Single Vehicle Collision","Total Loss","Rear Collision","Police",46200,"Y",1,0,0.283018867924528
58,"FEMALE","IN","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Other",63120,"Y",1,0,0.27930174563591
26,"MALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Rear Collision","Other",52110,"N",1,0,0.27930174563591
31,"MALE","IN","500/1000","Single Vehicle Collision","Total Loss","Side Collision","Police",77880,"N",1,0,0.283018867924528
37,"FEMALE","OH","500/1000","Single Vehicle Collision","Total Loss","Side Collision","Other",72930,"N",1,0,0.283018867924528
39,"FEMALE","IN","500/1000","Multi-vehicle Collision","Major Damage","Side Collision","Police",60400,"N",1,0,0.27930174563591
62,"MALE","IN","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Police",47160,"N",1,0,0.27930174563591
41,"FEMALE","IL","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Police",37840,"N",1,0,0.27930174563591
55,"MALE","IL","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Ambulance",71520,"Y",1,0,0.27930174563591
40,"MALE","IN","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Other",77880,"N",1,0,0.283018867924528
35,"MALE","OH","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Other",71500,"Y",1,0,0.27930174563591
40,"FEMALE","OH","100/300","Single Vehicle Collision","Minor Damage","Side Collision","Other",69840,"N",1,0,0.283018867924528
25,"MALE","IL","250/500","Multi-vehicle Collision","Major Damage","Side Collision","Ambulance",75600,"N",1,0,0.27930174563591
37,"MALE","IL","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Police",67140,"Y",1,0,0.27930174563591
35,"FEMALE","IL","500/1000","Multi-vehicle Collision","Total Loss","Front Collision","Police",29790,"N",1,0,0.27930174563591
30,"MALE","IL","100/300","Multi-vehicle Collision","Major Damage","Front Collision","Ambulance",77110,"N",1,0,0.27930174563591
37,"MALE","IL","500/1000","Single Vehicle Collision","Total Loss","Side Collision","Fire",64800,"N",1,0,0.283018867924528
33,"MALE","OH","100/300","Single Vehicle Collision","Major Damage","Front Collision","Other",53100,"Y",1,0,0.283018867924528
28,"FEMALE","IL","100/300","Single Vehicle Collision","Total Loss","Rear Collision","Police",60200,"Y",1,0,0.283018867924528
54,"FEMALE","IN","500/1000","Multi-vehicle Collision","Major Damage","Rear Collision","Police",62300,"N",1,0,0.27930174563591
37,"MALE","IN","250/500","Single Vehicle Collision","Major Damage","Front Collision","Ambulance",60170,"Y",1,0,0.283018867924528
26,"MALE","IL","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Ambulance",40000,"N",1,0,0.283018867924528
23,"FEMALE","IL","500/1000","Multi-vehicle Collision","Minor Damage","Side Collision","Other",51660,"N",1,1,0.27930174563591
30,"FEMALE","OH","250/500","Single Vehicle Collision","Total Loss","Rear Collision","Other",51120,"N",1,0,0.283018867924528
44,"MALE","IL","100/300","Single Vehicle Collision","Minor Damage","Front Collision","Other",56400,"N",1,0,0.283018867924528
40,"FEMALE","IL","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Other",55120,"N",1,0,0.27930174563591
33,"FEMALE","IN","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Fire",77110,"N",1,0,0.27930174563591
47,"MALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Front Collision","Fire",62800,"Y",1,0,0.27930174563591
35,"FEMALE","IL","100/300","Single Vehicle Collision","Total Loss","Rear Collision","Other",76600,"N",1,0,0.283018867924528
59,"MALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Front Collision","Fire",81800,"N",1,0,0.27930174563591
40,"FEMALE","IN","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Police",70510,"N",1,0,0.27930174563591
26,"MALE","OH","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Fire",78900,"N",1,0,0.283018867924528
56,"FEMALE","IN","250/500","Multi-vehicle Collision","Major Damage","Front Collision","Fire",56430,"N",1,0,0.27930174563591
39,"MALE","IL","250/500","Single Vehicle Collision","Total Loss","Front Collision","Ambulance",65790,"N",1,0,0.283018867924528
36,"FEMALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Side Collision","Police",62920,"N",1,0,0.27930174563591
34,"MALE","IN","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Police",69480,"Y",1,0,0.27930174563591
44,"MALE","IL","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Other",44280,"N",1,0,0.27930174563591
32,"MALE","IL","500/1000","Single Vehicle Collision","Minor Damage","Side Collision","Other",56300,"N",1,0,0.283018867924528
42,"MALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Front Collision","Fire",68520,"Y",1,0,0.27930174563591
42,"MALE","OH","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Fire",59130,"Y",1,0,0.27930174563591
39,"FEMALE","IN","100/300","Multi-vehicle Collision","Minor Damage","Front Collision","Ambulance",82320,"Y",1,0,0.27930174563591
64,"FEMALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Side Collision","Fire",33930,"N",1,0,0.27930174563591
30,"MALE","OH","100/300","Single Vehicle Collision","Major Damage","Front Collision","Ambulance",68530,"N",1,0,0.283018867924528
42,"FEMALE","OH","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Other",68310,"Y",1,0,0.27930174563591
41,"FEMALE","OH","100/300","Single Vehicle Collision","Total Loss","Front Collision","Other",61290,"Y",1,0,0.283018867924528
41,"FEMALE","OH","250/500","Single Vehicle Collision","Minor Damage","Rear Collision","Ambulance",30100,"N",1,0,0.283018867924528
37,"FEMALE","IN","100/300","Multi-vehicle Collision","Minor Damage","Rear Collision","Fire",57120,"N",1,0,0.27930174563591
40,"FEMALE","IL","100/300","Multi-vehicle Collision","Minor Damage","Side Collision","Ambulance",42930,"N",1,0,0.27930174563591
35,"FEMALE","OH","100/300","Multi-vehicle Collision","Total Loss","Front Collision","Ambulance",51210,"N",1,0,0.27930174563591
47,"MALE","IN","250/500","Multi-vehicle Collision","Total Loss","Front Collision","Police",59730,"N",1,0,0.27930174563591
38,"FEMALE","OH","500/1000","Single Vehicle Collision","Major Damage","Rear Collision","Fire",72200,"Y",1,0,0.283018867924528
31,"MALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Side Collision","Ambulance",50800,"N",1,0,0.27930174563591
48,"MALE","IN","500/1000","Multi-vehicle Collision","Major Damage","Side Collision","Ambulance",60940,"Y",1,0,0.27930174563591
